No.,Timestamp,Berat
530,06:44:05:662,1.23
531,06:44:05:864,1.73
532,06:44:06:052,1.53
533,06:44:06:239,1.43
534,06:44:06:442,1.93
535,06:44:06:629,2.73
536,06:44:06:816,3.43
537,06:44:07:019,4.03
538,06:44:07:206,4.53
539,06:44:07:393,5.03
540,06:44:07:596,5.53
541,06:44:07:783,5.93
542,06:44:07:970,6.43
543,06:44:08:173,6.93
544,06:44:08:360,7.43
545,06:44:08:548,7.23
546,06:44:08:750,7.33
547,06:44:08:938,8.03
548,06:44:09:125,8.93
549,06:44:09:328,9.23
550,06:44:09:515,9.73
551,06:44:09:702,10.64
552,06:44:09:905,10.94
553,06:44:10:092,11.64
554,06:44:10:279,11.84
555,06:44:10:482,12.04
556,06:44:10:669,12.34
557,06:44:10:856,12.54
558,06:44:11:044,12.94
559,06:44:11:246,13.24
560,06:44:11:434,13.64
561,06:44:11:621,13.94
562,06:44:11:824,14.34
563,06:44:12:011,14.74
564,06:44:12:198,14.44
565,06:44:12:401,12.54
566,06:44:12:588,12.44
567,06:44:12:775,12.64
568,06:44:12:978,12.94
569,06:44:13:165,13.34
570,06:44:13:352,13.74
571,06:44:13:555,14.74
572,06:44:13:742,43.14
573,06:44:13:930,72.54
574,06:44:14:132,74.14
575,06:44:14:320,74.34
576,06:44:14:507,74.74
577,06:44:14:710,75.14
578,06:44:14:897,75.54
579,06:44:15:084,75.74
580,06:44:15:287,76.24
581,06:44:15:474,76.54
582,06:44:15:661,77.04
583,06:44:15:864,75.24
584,06:44:16:051,73.14
585,06:44:16:238,72.64
586,06:44:16:426,73.14
587,06:44:16:628,74.14
588,06:44:16:816,75.14
589,06:44:17:003,75.74
590,06:44:17:206,76.14
591,06:44:17:393,76.44
592,06:44:17:580,76.74
593,06:44:17:783,77.14
594,06:44:17:970,77.34
595,06:44:18:157,77.64
596,06:44:18:360,77.84
597,06:44:18:547,78.04
598,06:44:18:734,78.34
599,06:44:18:937,78.74
600,06:44:19:124,79.04
601,06:44:19:312,79.24
602,06:44:19:514,79.64
603,06:44:19:702,79.84
604,06:44:19:889,80.04
605,06:44:20:092,80.54
606,06:44:20:279,80.64
607,06:44:20:466,80.84
608,06:44:20:669,81.04
609,06:44:20:856,81.24
610,06:44:21:043,81.34
611,06:44:21:230,81.44
612,06:44:21:433,81.64
613,06:44:21:620,81.74
614,06:44:21:808,81.84
615,06:44:22:010,82.04
616,06:44:22:198,81.94
617,06:44:22:385,82.04
618,06:44:22:588,82.24
619,06:44:22:775,82.34
620,06:44:22:962,82.44
621,06:44:23:165,82.44
622,06:44:23:352,82.54
623,06:44:23:539,82.64
624,06:44:23:742,82.94
625,06:44:23:929,83.24
626,06:44:24:116,83.44
627,06:44:24:319,83.54
628,06:44:24:506,83.54
